ID cluster e1 e2 e3 e4
user_23/session_1 1 0.214425821087 0.257009126759 0.3007118965 0.431540253891
user_1/session_4 0 0.353619346937 0.495813746633 0.474724495356 0.440738233871
user_1/session_5 0 0.415998960835 0.41954663571 0.462084456068 0.436434447363
user_59/session_1 1 0.213110230803 0.202711667739 0.313382013493 0.342208199753
user_34/session_1 1 0.324335507071 0.332150180576 0.329147909223 0.29558339019
user_57/session_1 0 0.387124685823 0.449656222478 0.341245396232 0.328448557684
user_26/session_1 1 0.318640195308 0.229220584623 0.150734090342 0.224539425618
user_5/session_2 0 0.442634151203 0.265206291683 0.394612864557 0.382748368364
user_8/session_1 1 0.375490956428 0.39000913396 0.282637052583 0.193000866175
user_42/session_1 1 0.209513593803 0.327644312702 0.309656046576 0.283436268278
user_47/session_1 0 0.411334791947 0.321801254312 0.409113638892 0.324608704119
user_18/session_1 0 0.344288471734 0.359930428135 0.445145850601 0.34814634258
user_66/session_1 1 0.299606651206 0.303402554091 0.272420809827 0.280849732071
user_63/session_1 0 0.377984281994 0.333242417549 0.390785144859 0.396738973311
user_6/session_1 0 0.263253390365 0.344465372199 0.344092810703 0.437110532201
user_16/session_1 2 0.0841249610315 0.116386837453 0.15578563117 0.167722102892
user_24/session_1 0 0.423879077839 0.370473603648 0.40839511355 0.462819618758
user_52/session_1 1 0.309063279802 0.320278237092 0.284827045782 0.155205037788
user_15/session_1 0 0.363772076836 0.415163261108 0.444794388904 0.416103886289
user_41/session_1 0 0.472214499924 0.419120380025 0.322167989161 0.445023278375
user_22/session_1 1 0.190379517887 0.229490030543 0.205613887082 0.31690306719
user_56/session_1 1 0.204251384727 0.316192563035 0.282522926958 0.318580122023
user_69/session_1 2 0.125872459756 0.104540823626 0.149062592487 0.0755690365249
user_36/session_1 0 0.392051785749 0.332916049543 0.435695786851 0.374045658344
user_38/session_1 0 0.413083058068 0.457682777223 0.446977900577 0.481919386248
user_40/session_1 1 0.230374949655 0.21304684734 0.232430972276 0.267669718316
user_31/session_1 0 0.358368804856 0.305487546868 0.375641039548 0.410023312821
user_32/session_1 0 0.41152360731 0.381616720163 0.404696419827 0.440092781133
user_4/session_2 1 0.246407314172 0.344698139285 0.326982446053 0.3213148365
user_4/session_3 0 0.3470870354 0.38546067255 0.327900123578 0.352260064387
user_30/session_1 0 0.301837907111 0.372004282162 0.267179523865 0.418346493854
user_29/session_1 0 0.304890666492 0.467371483742 0.421583490474 0.372032494478
user_10/session_1 0 0.358921970435 0.329900205986 0.392414317409 0.52700282931
user_62/session_1 1 0.262270709724 0.268104357628 0.331109430445 0.303678175532
user_49/session_1 1 0.174431039231 0.267539138442 0.327732057165 0.357319721482
user_17/session_1 1 0.271167232741 0.29096262125 0.247496794596 0.25619527991
user_65/session_1 1 0.223735079574 0.235787028788 0.238181464398 0.201153160749
user_55/session_1 0 0.465954227419 0.393023493802 0.428162042614 0.52292815445
user_2/session_2 0 0.382558455848 0.398044184305 0.41461776579 0.422968097147
user_37/session_1 1 0.265263551462 0.180203406494 0.241133792317 0.253090756495
user_67/session_1 1 0.21177179292 0.288110022408 0.29586032566 0.212252866668
user_9/session_1 1 0.237918340526 0.309796764128 0.347338141072 0.346563330667
user_46/session_1 0 0.320930727528 0.421598875656 0.446943849373 0.408781791718
user_43/session_1 1 0.241738135469 0.264977440423 0.18199021534 0.217853347368
user_35/session_1 2 0.155338450723 0.224461475724 0.17866169943 0.176540484656
user_27/session_1 2 0.177266929911 0.0977604631908 0.111307671321 0.139693632172
user_64/session_1 0 0.495677809136 0.493441994222 0.521107812125 0.488342772107
user_7/session_1 1 0.271253076112 0.283765221491 0.250787607069 0.274968620217
user_11/session_1 1 0.182890213264 0.190691715214 0.251621957976 0.36958240343
user_39/session_1 1 0.225225793727 0.255285830572 0.366975827358 0.327298083741
user_44/session_1 0 0.354711937813 0.39831304824 0.322202785591 0.390364903546
user_25/session_1 1 0.277647621671 0.222130027212 0.303385823554 0.262711947671
user_28/session_1 1 0.156599962512 0.29252833869 0.228281723193 0.161158501714
user_68/session_1 0 0.314146300558 0.315027350463 0.356107154063 0.463010444198
user_33/session_1 2 0.0974050115007 0.113754632504 0.105223612764 0.118161265713
user_20/session_1 2 0.170187372095 0.138988626092 0.119289678596 0.148372291663
user_12/session_1 1 0.253977485645 0.17918840023 0.212455879817 0.219942896665
